"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2018-12-04 16:09:09 +01:00"

Year,"Country / territory of asylum/residence",Origin,"RSD procedure type / level","Applied during year"
2016,Netherlands,"Syrian Arab Rep.","G / RA",60
2016,Norway,"Syrian Arab Rep.","G / FI",508
2016,Norway,"Syrian Arab Rep.","G / RA",21
2016,Norway,"Syrian Arab Rep.","G / AR",511
2016,Poland,"Syrian Arab Rep.","G / AR",6
2016,Poland,"Syrian Arab Rep.","G / FI",42
2016,Portugal,"Syrian Arab Rep.","G / FI",433
2016,Romania,"Syrian Arab Rep.","G / RA",7
2016,Romania,"Syrian Arab Rep.","G / FI",816
2016,Romania,"Syrian Arab Rep.","G / JR",
2016,"Russian Federation","Syrian Arab Rep.","G / FI",220
2016,"Russian Federation","Syrian Arab Rep.","G / TA",1045
2016,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.","G / FI",64
2016,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.","G / FI",100
2016,Slovakia,"Syrian Arab Rep.","G / RA",4
2016,Slovakia,"Syrian Arab Rep.","G / FI",10
2016,Slovenia,"Syrian Arab Rep.","G / RA",9
2016,Slovenia,"Syrian Arab Rep.","G / FI",273
2016,Sweden,"Syrian Arab Rep.","G / FI",4706
2016,Sweden,"Syrian Arab Rep.","G / RA",749
2016,Sweden,"Syrian Arab Rep.","G / AR",3147
2016,Ukraine,"Syrian Arab Rep.","G / JR",96
2016,Ukraine,"Syrian Arab Rep.","U / FI",34
2016,Ukraine,"Syrian Arab Rep.","G / FI",72
2017,Poland,"Syrian Arab Rep.","G / AR",*
2017,Poland,"Syrian Arab Rep.","G / FI",40
2017,Portugal,"Syrian Arab Rep.","G / RA",415
2017,Portugal,"Syrian Arab Rep.","G / FI",10
2017,Romania,"Syrian Arab Rep.","G / JR",
2017,Romania,"Syrian Arab Rep.","G / FI",945
2017,Romania,"Syrian Arab Rep.","G / RA",6
2017,"Russian Federation","Syrian Arab Rep.","G / FI",191
2017,"Russian Federation","Syrian Arab Rep.","G / TA",688
2017,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.","G / FI",16
2017,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.","G / FI",26
2017,Slovakia,"Syrian Arab Rep.","G / FA",11
2017,Slovenia,"Syrian Arab Rep.","G / RA",*
2017,Slovenia,"Syrian Arab Rep.","G / FA",92
2017,Sweden,"Syrian Arab Rep.","G / RA",214
2017,Sweden,"Syrian Arab Rep.","G / AR",1427
2017,Sweden,"Syrian Arab Rep.","G / FI",4574
2017,Ukraine,"Syrian Arab Rep.","G / JR",53
2017,Ukraine,"Syrian Arab Rep.","G / FI",65
2017,Albania,"Syrian Arab Rep.","G / FI",112
2017,Austria,"Syrian Arab Rep.","G / FA",7255
2017,Belgium,"Syrian Arab Rep.","G / AR",155
2017,Belgium,"Syrian Arab Rep.","G / FI",2625
2017,Belgium,"Syrian Arab Rep.","G / JR",
2017,Bulgaria,"Syrian Arab Rep.","G / FI",941
2017,Bulgaria,"Syrian Arab Rep.","G / RA",28
2017,Bulgaria,"Syrian Arab Rep.","G / FA",
2017,"Bosnia and Herzegovina","Syrian Arab Rep.","G / FI",43
2017,"Bosnia and Herzegovina","Syrian Arab Rep.","G / JR",
2017,Belarus,"Syrian Arab Rep.","G / JR",*
2017,Belarus,"Syrian Arab Rep.","G / FI",11
2017,Switzerland,"Syrian Arab Rep.","G / FI",1806
2017,Switzerland,"Syrian Arab Rep.","G / RA",145
2017,"Czech Rep.","Syrian Arab Rep.","G / RA",5
2017,"Czech Rep.","Syrian Arab Rep.","G / FI",71
2017,Germany,"Syrian Arab Rep.","G / RA",1448
2017,Germany,"Syrian Arab Rep.","G / NA",48974
2017,Germany,"Syrian Arab Rep.","G / JR",
2017,Denmark,"Syrian Arab Rep.","G / FI",858
2017,Denmark,"Syrian Arab Rep.","G / AR",42
2017,Spain,"Syrian Arab Rep.","G / FI",4276
2017,Estonia,"Syrian Arab Rep.","G / FI",*
2017,Finland,"Syrian Arab Rep.","G / FI",725
2017,Finland,"Syrian Arab Rep.","G / RA",19
2017,France,"Syrian Arab Rep.","G / RA",19
2017,France,"Syrian Arab Rep.","G / RA",5
2017,France,"Syrian Arab Rep.","G / FI",5805
2017,France,"Syrian Arab Rep.","G / AR",1207
2017,"United Kingdom","Syrian Arab Rep.","G / FI",793
2017,"United Kingdom","Syrian Arab Rep.","G / AR",95
2017,"United Kingdom","Syrian Arab Rep.","G / RA",7
2017,Greece,"Syrian Arab Rep.","G / RA",90
2017,Greece,"Syrian Arab Rep.","G / AR",965
2017,Greece,"Syrian Arab Rep.","G / FI",16306
2017,Croatia,"Syrian Arab Rep.","G / JR",29
2017,Croatia,"Syrian Arab Rep.","G / FI",209
2017,Hungary,"Syrian Arab Rep.","G / FI",
2017,Hungary,"Syrian Arab Rep.","G / RA",67
2017,Hungary,"Syrian Arab Rep.","G / FI",510
2017,Ireland,"Syrian Arab Rep.","G / FI",545
2017,Iceland,"Syrian Arab Rep.","G / AR",12
2017,Iceland,"Syrian Arab Rep.","G / FI",33
2017,Italy,"Syrian Arab Rep.","G / FI",1690
2017,Liechtenstein,"Syrian Arab Rep.","G / FI",11
2017,Lithuania,"Syrian Arab Rep.","G / FI",225
2017,Luxembourg,"Syrian Arab Rep.","G / AR",
2017,Luxembourg,"Syrian Arab Rep.","G / FI",405
2017,Latvia,"Syrian Arab Rep.","G / FI",139
2017,"The former Yugoslav Republic of Macedonia","Syrian Arab Rep.","G / FA",26
2017,Malta,"Syrian Arab Rep.","G / FI",436
2017,Malta,"Syrian Arab Rep.","G / AR",78
2017,Montenegro,"Syrian Arab Rep.","G / FA",71
2017,Netherlands,"Syrian Arab Rep.","G / RA",805
2017,Netherlands,"Syrian Arab Rep.","G / FI",2201
2017,Norway,"Syrian Arab Rep.","G / AR",94
